Timestamp,Event,Process Name,Window Title,PID,Local IP,Remote IP,Action Taken,Details
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.ctrl_l
13-03-2025 16:38:05,Network Activity,Cursor.exe,,12576,192.168.0.102,104.18.19.125,Monitored,Process 'Cursor.exe' connected to 104.18.19.125 (Unknown)
13-03-2025 16:38:05,Network Activity,svchost.exe,,4504,192.168.0.102,23.57.240.163,Monitored,Process 'svchost.exe' connected to 23.57.240.163 (a23-57-240-163.deploy.static.akamaitechnologies.com)
13-03-2025 16:38:09,Keypress,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Key pressed,Key.esc
13-03-2025 16:38:09,Termination requested,Cursor.exe,combined_activity_log.csv - demo - Cursor,,,,Terminating,Termination key pressed
13-03-2025 16:38:09,Network Activity,WhatsApp.exe,,13328,192.168.0.102,163.70.144.61,Monitored,Process 'WhatsApp.exe' connected to 163.70.144.61 (whatsapp-chatd-edge-shv-02-bom2.facebook.com)
13-03-2025 16:38:09,Monitoring Stopped,,,,,,User terminated,
